brand;product_notes;ref_article;gtin;product_name;updated_at;quantity;product_description;product_image
IDTOLIGHT;METTET MINI;IDTL498200BZZ;5404023006493;Collerette semi-encastrée pour METTET MINI blanche IP54;01.02.26;1;Encastrés intérieur;
IDTOLIGHT;METTET MINI;IDTL498201NZZ;5404023006509;Collerette semi-encastrée pour METTET MINI noire IP54;01.02.26;1;Encastrés intérieur;
IDTOLIGHT;METTET;IDTL498202BZZ;5404023006516;Collerette semi-encastrée pour METTET blanche IP54;01.02.26;1;Encastrés intérieur;
IDTOLIGHT;METTET;IDTL498203NZZ;5404023006677;Collerette semi-encastrée pour METTET noire IP54;01.02.26;1;Encastrés intérieur;
IDTOLIGHT;METTET MINI;IDTL498204BZZ;5404023006530;Collerette encastrée ronde pour METTET MINI blanche IP44;01.02.26;1;Encastrés intérieur;
IDTOLIGHT;METTET MINI;IDTL498205NZZ;5404023006547;Collerette encastrée ronde pour METTET MINI noire IP44;01.02.26;1;Encastrés intérieur;
IDTOLIGHT;METTET MINI;IDTL498206HZZ;5404023006554;Collerette encastrée ronde pour METTET MINI noire/dorée IP44;01.02.26;1;Encastrés intérieur;
IDTOLIGHT;METTET MINI;IDTL498207BZZ;5404023006660;Collerette encastrée carrée pour METTET MINI blanche IP44;01.02.26;1;Encastrés intérieur;
IDTOLIGHT;METTET MINI;IDTL498208NZZ;5404023006578;Collerette encastrée carrée pour METTET MINI noire IP44;01.02.26;1;Encastrés intérieur;
IDTOLIGHT;METTET MINI;IDTL498209HZZ;5404023006585;Collerette encastrée carrée METTET MINI noire/dorée IP44;01.02.26;1;Encastrés intérieur;
IDTOLIGHT;Alimentations;IDTL499104ZZZ;5425025778867;Alim. LED 9W 350 mA Dimmable TRIAC IP20;01.02.26;1;Alimentations;
IDTOLIGHT;Alimentations;IDTL499105ZZZ;5425025778027;Alim. LED 10W 500mA Dimmable TRIAC IP20;01.02.26;1;Alimentations;
IDTOLIGHT;Alimentations;IDTL499106ZZZ;5404023000354;Alim. LED 4W 700mA IP65;01.02.26;1;Alimentations;
IDTOLIGHT;Alimentations;IDTL499107ZZZ;5404023000361;Alim. LED 4W 700mA Dimmable TRIAC IP65;01.02.26;1;Alimentations;
IDTOLIGHT;Alimentations;IDTL499108ZZZ;5404023006486;Alim. LED 25W 500mA Dimmable TRIAC IP20;01.02.26;1;Alimentations;
IDTOLIGHT;AVEIRO;IDTL508100TZZ;5404023009654;Kit de fixation pour AVEIRO (4 pièces) transparent;01.02.26;1;Profilés;
IDTOLIGHT;AVEIRO;IDTL508101GZZ;5404023009661;Kit de fixation pour AVEIRO (4 pièces) alu;01.02.26;1;Profilés;
IDTOLIGHT;AVEIRO;IDTL508110RZZ;5404023009678;Kit de finition pour AVEIRO (4 pièces) rouge brique;01.02.26;1;Profilés;
IDTOLIGHT;AVEIRO;IDTL508120KZZ;5404023009685;kit de finition pour AVEIRO (4 pièces) champagne;01.02.26;1;Profilés;
IDTOLIGHT;AVEIRO;IDTL508130WZZ;5404023009692;Kit de finition pour AVEIRO (4 pièces) bronze;01.02.26;1;Profilés;
IDTOLIGHT;AVEIRO;IDTL508140GZZ;5404023009708;Kit de finition pour AVEIRO (4 pièces) gris foncé;01.02.26;1;Profilés;
IDTOLIGHT;AVEIRO;IDTL508201RSZ;5404023009593;AVEIRO Profilé Apparent 2m Rouge brique;01.02.26;1;Profilés;
IDTOLIGHT;AVEIRO;IDTL508601KSZ;5404023009609;AVEIRO Profilé Apparent 2m Champagne;01.02.26;1;Profilés;
IDTOLIGHT;AVEIRO;IDTL508701WSZ;5404023009616;AVEIRO Profilé Apparent 2m Bronze;01.02.26;1;Profilés;
IDTOLIGHT;AVEIRO;IDTL508801GSZ;5404023009623;AVEIRO Profilé Apparent 2m Gris foncé;01.02.26;1;Profilés;
IDTOLIGHT;AVEIRO;IDTL508911ZZZ;5404023009630;AVEIRO diffuseur dépoli 2m;01.02.26;1;Profilés;
IDTOLIGHT;AVEIRO;IDTL508912ZZZ;5404023009647;AVEIRO diffuseur noir 2m;01.02.26;1;Profilés;
IDTOLIGHT;COMO;IDTL510028ZZC;5404023010711;COMO 4,5 DIM 2700K E27;01.02.26;1;Sources;
IDTOLIGHT;COMO;IDTL510029TCC;5404023010728;COMO T10 DIM 2700K E27;01.02.26;1;Sources;
IDTOLIGHT;COMO;IDTL510031TCC;5404023010735;COMO T13 DIM 2700K E27;01.02.26;1;Sources;
IDTOLIGHT;COMO;IDTL510188ZZC;5404023012128;COMO 7 DIM 2700K E27;01.02.26;1;Sources;
